Feature,Importance
original_gldm_SmallDependenceHighGrayLevelEmphasis_LV_ES,0.0012060807409644595
original_gldm_SmallDependenceEmphasis_RV_ED,0.001203319564627491
original_glcm_SumAverage_MYO_ED,0.0011984509419091256
original_glcm_Correlation_RV_ES,0.0011850135324206164
original_ngtdm_Contrast_LV_ED,0.001181709568806343
original_gldm_LargeDependenceEmphasis_RV_ED,0.0011806161652078442
original_glszm_SizeZoneNonUniformity_LV_ED,0.0011666265189229693
original_glrlm_RunVariance_RV_ES,0.0011660533965085597
original_firstorder_Kurtosis_RV_ES,0.0011600670646185853
original_glszm_LargeAreaHighGrayLevelEmphasis_MYO_ES,0.001154831836719853
original_glszm_SizeZoneNonUniformity_MYO_ED,0.0011382160935936678
original_glcm_Idm_LV_ES,0.001129046168251605
original_shape_Sphericity_LV_ES,0.0011211484161784007
original_glrlm_HighGrayLevelRunEmphasis_RV_ED,0.0011174959561886851
original_firstorder_Uniformity_RV_ES,0.0011057061118330584
original_glszm_LargeAreaHighGrayLevelEmphasis_RV_ED,0.001102090704714704
original_shape_Flatness_LV_ED,0.0010986307620728117
original_glrlm_ShortRunEmphasis_LV_ED,0.0010855784469096675
original_glrlm_LowGrayLevelRunEmphasis_RV_ES,0.0010792233563197322
original_gldm_SmallDependenceLowGrayLevelEmphasis_LV_ED,0.0010766966552323504
original_glrlm_RunLengthNonUniformityNormalized_MYO_ES,0.0010673421039366906
original_gldm_DependenceEntropy_MYO_ES,0.0010652546616378474
original_glcm_MCC_RV_ES,0.0010651676019179863
original_glrlm_ShortRunEmphasis_MYO_ES,0.0010614641505739704
original_ngtdm_Contrast_MYO_ED,0.001033268959545337
original_glcm_JointEnergy_RV_ES,0.0010289132546537113
original_glcm_Imc2_MYO_ED,0.0010270169756885633
original_gldm_DependenceVariance_MYO_ES,0.0010021585651592089
original_glcm_DifferenceVariance_MYO_ED,0.0009969468390804593
original_gldm_HighGrayLevelEmphasis_RV_ED,0.0009901743446501445
original_glrlm_LongRunEmphasis_MYO_ES,0.0009768009768009772
original_glcm_MCC_RV_ED,0.0009454545454545453
original_glszm_GrayLevelVariance_LV_ES,0.0009395651429549738
original_glcm_ClusterProminence_LV_ED,0.0009346264686757292
original_glrlm_RunLengthNonUniformityNormalized_RV_ED,0.0009331324048671793
original_glcm_Id_MYO_ES,0.0009321839348803908
original_firstorder_10Percentile_LV_ES,0.0009259859225332037
original_glrlm_GrayLevelVariance_RV_ES,0.0009188292652338176
original_shape_Maximum3DDiameter_LV_ED,0.0009182986723674096
original_glcm_ClusterTendency_MYO_ES,0.0009080761936508655
height,0.0009054516496997613
original_firstorder_RobustMeanAbsoluteDeviation_LV_ED,0.0009043569969019841
original_glcm_DifferenceAverage_LV_ED,0.0008798816801568077
original_gldm_SmallDependenceEmphasis_MYO_ED,0.0008783610755441741
original_firstorder_TotalEnergy_RV_ED,0.0008776432549797035
original_glrlm_GrayLevelNonUniformityNormalized_RV_ES,0.0008690528605557814
original_firstorder_RootMeanSquared_MYO_ES,0.0008616990846681922
original_glcm_Idn_MYO_ED,0.0008607917506222594
original_glcm_DifferenceVariance_LV_ED,0.0008586378452564765
original_firstorder_RobustMeanAbsoluteDeviation_MYO_ED,0.0008527428897323119
original_shape_Maximum2DDiameterColumn_RV_ED,0.0008415065624596535
original_firstorder_Variance_LV_ES,0.0008397579369389788
original_gldm_LargeDependenceHighGrayLevelEmphasis_LV_ED,0.000834698588337015
original_gldm_DependenceNonUniformityNormalized_MYO_ED,0.0008336103578949716
original_glcm_SumAverage_LV_ES,0.0008305319359303935
original_ngtdm_Contrast_RV_ES,0.0008217367739005739
original_glcm_Idm_MYO_ES,0.0008195348015094512
original_ngtdm_Contrast_LV_ES,0.0008140943666526543
original_ngtdm_Strength_RV_ED,0.0008102099020518724
original_glcm_JointEnergy_MYO_ED,0.0008093613157365927
original_gldm_SmallDependenceLowGrayLevelEmphasis_RV_ED,0.0008080446804413019
original_gldm_DependenceEntropy_MYO_ED,0.0008079242032730404
original_glcm_MaximumProbability_LV_ED,0.0007942238267148015
original_gldm_LowGrayLevelEmphasis_RV_ED,0.0007934733977177305
original_glrlm_HighGrayLevelRunEmphasis_RV_ES,0.0007824943061845987
original_glcm_SumSquares_RV_ES,0.0007812916912301585
original_gldm_LargeDependenceHighGrayLevelEmphasis_RV_ED,0.0007694301742446987
original_ngtdm_Busyness_LV_ES,0.0007485560702235949
original_glszm_HighGrayLevelZoneEmphasis_MYO_ED,0.0007403598971722366
original_glcm_Correlation_RV_ED,0.0007160379962298598
original_gldm_LargeDependenceHighGrayLevelEmphasis_RV_ES,0.0007154936849364926
original_glrlm_GrayLevelNonUniformityNormalized_MYO_ES,0.000698598576216157
original_firstorder_Energy_LV_ES,0.000693928128872367
original_glcm_Imc1_MYO_ES,0.0006887052341597795
original_glszm_SmallAreaLowGrayLevelEmphasis_LV_ES,0.0006805055183850856
original_glrlm_ShortRunHighGrayLevelEmphasis_LV_ED,0.0006797341104429933
original_firstorder_Energy_MYO_ES,0.0006750545788808457
original_glcm_Id_MYO_ED,0.0006715132863326368
original_firstorder_Entropy_RV_ES,0.0006653043767523644
original_glcm_Idm_RV_ES,0.0006613772511866063
original_glcm_Idn_MYO_ES,0.0006598114824335904
original_glrlm_HighGrayLevelRunEmphasis_LV_ED,0.0006597339804541981
original_firstorder_MeanAbsoluteDeviation_MYO_ES,0.0006577823338458911
original_gldm_LargeDependenceEmphasis_LV_ED,0.0006536994050001337
original_glcm_MaximumProbability_RV_ES,0.0006474744147669049
original_glcm_MaximumProbability_RV_ED,0.0006473004927409874
original_firstorder_Entropy_MYO_ES,0.0006454753722794959
